------------- 2 THREADS -----------------

2, 1026, 2, 0, 0
2, 1026, 4, 0, 13
2, 1026, 8, 0, 8
2, 1026, 16, 0, 9
2, 1026, 32, 0, 9
2, 1026, 64, 1, 10
2, 1026, 128, 2, 11
2, 1026, 256, 3, 12
2, 1026, 512, 7, 16
2, 1026, 1024, 14, 23
2, 1026, 2048, 29, 38
2, 1026, 4096, 59, 69
2, 1026, 8192, 119, 141
2, 1026, 16384, 238, 264
2, 1026, 32768, 473, 675
4, 1028, 2, 0, 0
4, 1028, 4, 0, 18
4, 1028, 8, 0, 17
4, 1028, 16, 0, 18
4, 1028, 32, 0, 17
4, 1028, 64, 1, 15
4, 1028, 128, 2, 17
4, 1028, 256, 3, 25
4, 1028, 512, 7, 21
4, 1028, 1024, 15, 41
4, 1028, 2048, 30, 61
4, 1028, 4096, 60, 96
4, 1028, 8192, 120, 148
4, 1028, 16384, 243, 280
4, 1028, 32768, 473, 546
8, 1032, 2, 0, 0
8, 1032, 4, 0, 9
8, 1032, 8, 0, 8
8, 1032, 16, 0, 9
8, 1032, 32, 0, 9
8, 1032, 64, 1, 9
8, 1032, 128, 1, 11
8, 1032, 256, 3, 12
8, 1032, 512, 7, 15
8, 1032, 1024, 15, 23
8, 1032, 2048, 29, 38
8, 1032, 4096, 59, 74
8, 1032, 8192, 117, 137
8, 1032, 16384, 237, 261
8, 1032, 32768, 475, 532
16, 1040, 2, 0, 0
16, 1040, 4, 0, 10
16, 1040, 8, 0, 8
16, 1040, 16, 0, 8
16, 1040, 32, 0, 9
16, 1040, 64, 1, 9
16, 1040, 128, 2, 10
16, 1040, 256, 3, 12
16, 1040, 512, 7, 15
16, 1040, 1024, 15, 25
16, 1040, 2048, 30, 39
16, 1040, 4096, 60, 70
16, 1040, 8192, 120, 135
16, 1040, 16384, 239, 272
16, 1040, 32768, 479, 564
32, 1056, 2, 0, 0
32, 1056, 4, 0, 8
32, 1056, 8, 0, 8
32, 1056, 16, 0, 8
32, 1056, 32, 0, 9
32, 1056, 64, 1, 10
32, 1056, 128, 2, 10
32, 1056, 256, 3, 12
32, 1056, 512, 7, 16
32, 1056, 1024, 15, 23
32, 1056, 2048, 30, 38
32, 1056, 4096, 59, 73
32, 1056, 8192, 119, 140
32, 1056, 16384, 240, 262
32, 1056, 32768, 476, 553
64, 1088, 2, 0, 0
64, 1088, 4, 0, 8
64, 1088, 8, 0, 9
64, 1088, 16, 0, 10
64, 1088, 32, 0, 13
64, 1088, 64, 1, 9
64, 1088, 128, 2, 10
64, 1088, 256, 3, 12
64, 1088, 512, 7, 16
64, 1088, 1024, 14, 23
64, 1088, 2048, 30, 41
64, 1088, 4096, 60, 71
64, 1088, 8192, 120, 134
64, 1088, 16384, 237, 277
64, 1088, 32768, 479, 557
128, 1152, 2, 0, 0
128, 1152, 4, 0, 9
128, 1152, 8, 0, 9
128, 1152, 16, 0, 9
128, 1152, 32, 0, 9
128, 1152, 64, 1, 9
128, 1152, 128, 2, 10
128, 1152, 256, 3, 12
128, 1152, 512, 7, 16
128, 1152, 1024, 15, 23
128, 1152, 2048, 30, 39
128, 1152, 4096, 59, 71
128, 1152, 8192, 121, 138
128, 1152, 16384, 241, 269
128, 1152, 32768, 480, 569
256, 1280, 2, 0, 0
256, 1280, 4, 0, 10
256, 1280, 8, 0, 9
256, 1280, 16, 0, 10
256, 1280, 32, 0, 10
256, 1280, 64, 1, 11
256, 1280, 128, 2, 11
256, 1280, 256, 3, 11
256, 1280, 512, 7, 16
256, 1280, 1024, 15, 25
256, 1280, 2048, 29, 42
256, 1280, 4096, 59, 69
256, 1280, 8192, 120, 133
256, 1280, 16384, 241, 255
256, 1280, 32768, 482, 558
512, 1536, 2, 0, 0
512, 1536, 4, 0, 10
512, 1536, 8, 0, 14
512, 1536, 16, 0, 10
512, 1536, 32, 0, 9
512, 1536, 64, 1, 10
512, 1536, 128, 2, 10
512, 1536, 256, 3, 12
512, 1536, 512, 7, 15
512, 1536, 1024, 15, 23
512, 1536, 2048, 30, 39
512, 1536, 4096, 60, 70
512, 1536, 8192, 121, 145
512, 1536, 16384, 240, 270
512, 1536, 32768, 483, 533
1024, 2048, 2, 0, 0
1024, 2048, 4, 0, 9
1024, 2048, 8, 0, 10
1024, 2048, 16, 0, 8
1024, 2048, 32, 0, 9
1024, 2048, 64, 1, 10
1024, 2048, 128, 2, 10
1024, 2048, 256, 4, 12
1024, 2048, 512, 7, 16
1024, 2048, 1024, 15, 23
1024, 2048, 2048, 30, 40
1024, 2048, 4096, 61, 72
1024, 2048, 8192, 121, 137
1024, 2048, 16384, 242, 266
1024, 2048, 32768, 486, 530
2048, 3072, 2, 0, 0
2048, 3072, 4, 0, 8
2048, 3072, 8, 0, 8
2048, 3072, 16, 0, 8
2048, 3072, 32, 0, 9
2048, 3072, 64, 1, 10
2048, 3072, 128, 2, 11
2048, 3072, 256, 3, 12
2048, 3072, 512, 7, 16
2048, 3072, 1024, 15, 24
2048, 3072, 2048, 31, 39
2048, 3072, 4096, 62, 70
2048, 3072, 8192, 124, 130
2048, 3072, 16384, 250, 266
2048, 3072, 32768, 496, 507
4096, 5120, 2, 0, 0
4096, 5120, 4, 0, 9
4096, 5120, 8, 0, 9
4096, 5120, 16, 0, 9
4096, 5120, 32, 0, 9
4096, 5120, 64, 1, 9
4096, 5120, 128, 2, 11
4096, 5120, 256, 4, 12
4096, 5120, 512, 8, 15
4096, 5120, 1024, 15, 23
4096, 5120, 2048, 31, 37
4096, 5120, 4096, 62, 68
4096, 5120, 8192, 122, 137
4096, 5120, 16384, 247, 282
4096, 5120, 32768, 496, 533
8192, 9216, 2, 0, 0
8192, 9216, 4, 0, 8
8192, 9216, 8, 0, 9
8192, 9216, 16, 0, 8
8192, 9216, 32, 0, 9
8192, 9216, 64, 1, 10
8192, 9216, 128, 2, 10
8192, 9216, 256, 4, 12
8192, 9216, 512, 8, 16
8192, 9216, 1024, 15, 24
8192, 9216, 2048, 31, 41
8192, 9216, 4096, 63, 81
8192, 9216, 8192, 125, 133
8192, 9216, 16384, 250, 273
8192, 9216, 32768, 500, 515
16384, 17408, 2, 0, 0
16384, 17408, 4, 0, 9
16384, 17408, 8, 0, 9
16384, 17408, 16, 0, 9
16384, 17408, 32, 0, 9
16384, 17408, 64, 1, 10
16384, 17408, 128, 1, 11
16384, 17408, 256, 4, 12
16384, 17408, 512, 7, 15
16384, 17408, 1024, 15, 23
16384, 17408, 2048, 30, 39
16384, 17408, 4096, 59, 70
16384, 17408, 8192, 121, 126
16384, 17408, 16384, 240, 256
16384, 17408, 32768, 482, 507
32768, 33792, 2, 0, 0
32768, 33792, 4, 0, 10
